Unnamed: 0,번호,제목,저자,출판사,출판일,학위논문사항
,84,Characteristics of injection drug users who utilize tuberculosis services at sites of a needle exchange program,"Riley, Elise Delynn",The Johns Hopkins University,2000,해외박사(DDOD)
,85,"The rise of European cities: Technology, institutions, and growth","Dittmar, Jeremiah Edward","University of California, Berkeley",2009,해외박사(DDOD)
,86,"Flow structures, mixing and droplet production in a fuel-water stratified shear layer","Wu, Xiongjun",The Johns Hopkins University,2003,해외박사(DDOD)
,87,Microwave Photonic Filters for Interference Cancellation and Adaptive Beamforming,"Chang, John",Princeton University,2014,해외박사(DDOD)
,88,"Government defeat: Coalitions, responsiveness, and legislative success","Saiegh, Sebastian M",New York University,2004,해외박사(DDOD)
,89,Professional commitments and political identities: Challenges for feminist academic sociologists,"Laube, Heather Marie",State University of New York at Albany,2003,해외박사(DDOD)
,90,The Phonology of Contact: Creole sound change in context,"Ng, E-Ching",Yale University,2015,해외박사(DDOD)
,91,Using an in situ Kelvin probe to study changes in sliding metal surfaces,"Kasai, Toshikazu",The Ohio State University,2001,해외박사(DDOD)
,92,Education finance equity:  Judicial treatment of key issues and impact of that treatment on reform,"Lukemeyer, Anna",Syracuse University,1999,해외박사(DDOD)
,93,Computing tie strength,"Gilbert, Eric Edmund",University of Illinois at Urbana-Champaign,2010,해외박사(DDOD)
,94,From the ground up: Conceptions of quality in course design for Web-supported education,"Greenberg, Gary",The Ohio State University,2010,해외박사(DDOD)
,95,Transcriptome and secretome of two Pythium species during infection and saprophytic growth,"Ibarra Caballero, Jorge Rafael",Colorado State University,2016,해외박사(DDOD)
,96,Improving the quality of quality improvement in health care: Case studies of provider office practices in the use of assisted office systems analysis within a quality improvement project,"van Eeghen, Constance O",The University of North Carolina at Chapel Hill,2012,해외박사(DDOD)
,97,The Path of the Blind Watchmaker: A Model of Evolution,"Poggio, Andrew Anthony","University of California, Berkeley",2011,해외박사(DDOD)
,98,The self-perceived leadership orientations of principals:  A multi-perspective framework,"Liu, Hsiu-Yu",The University of Wisconsin - Madison,2007,해외박사(DDOD)
,99,Looking at it sideways: Alternative media and the activist critique of news,"Rauch, Jennifer",Indiana University,2006,해외박사(DDOD)
,100,Enhancing speech to speech translation through exploitation of bilingual resources and paralinguistic information,"Tsiartas, Andreas",University of Southern California,2014,해외박사(DDOD)
,1,Fog Computing Architecture for IOT and Big Data environment : IOT 및 빅 데이터 환경을위한 포그 (Fog) 컴퓨팅 아키텍처,"Hameed, Pinjari",경북대학교 대학원,2018,국내석사
,2,Scalable Natural User Interfaces for Data-Intensive Exploratory Visualization: Designing in the Context of Big Data,"Coffey, Dane M",University of Minnesota,2014,해외박사(DDOD)
,3,Study on Potential Mechanisms of Skin Damage and Protection Caused by Environmental Factors Using Big Data-Based Integrative Analysis = 환경 내 요인의 피부손상/보호 메커니즘 이해를 위한 생물학적 빅데이터 기반의 독성유전체 분석 및 분자독성 연구,김현수,동국대학교,2020,국내박사
,4,Building a civic hacking model in the era of big data,김재규,"Graduate School, Korea University",2017,국내석사
,5,Alternatives to relational databases in precision medicine: Comparison of NoSQL approaches for big data storage using supercomputers,"Velazquez, Enrique Israel",University of Pittsburgh,2015,해외박사(DDOD)
,6,Toward BSP-based machine learning techniques for intrusion detection in high-speed big data networks,"Siddique, Kamran",Dongguk University,2018,국내박사
,7,Intention of technology acceptance for meditation app users by using big data and UTAUT model,정유진,"Graduate School, Yonsei University",2022,국내박사
,8,A Study on the Characteristic Analysis and Optimization Strategy of Tourism Development in Southwestern China using Big Data Analysis = 빅 데이터 분석을 활용한 중국 서남부 지역 관광개발 특성분석 및 최적화 전략에 관한 연구,이예,세한대학교 일반대학원,2022,국내박사
,9,What Factors Affect Public Bike Demand by Purpose? : Integrated Analysis of User’s Trip Patterns and Urban Geospatial Big Data,이미성,이화여자대학교 대학원,2020,국내석사
,10,Multiple Learning for Generalized Linear Models in Big Data   [electronic resource],"Liu, Xiang",Purdue University,2021,해외박사(DDOD)
,11,Analysis of South Korea's Space Industry Using News Big Data : Focused on Topic modeling,김태영,경희대학교 대학원,2024,국내석사
,12,"Big Data Challenges and Opportunities: Information Diffusion, User Behavior, and Informational Trends in Online Social Networks","Budak, Ceren","University of California, Santa Barbara",2012,해외박사(DDOD)
,13,빅데이터 구축을 위한 딥러닝 알고리즘 응용 의료 영상 비식별화 소프트웨어 개발 = Development of medical image de-identification software applying deep learning algorithm for big data platform,정연욱,울산대학교,2021,국내석사
,14,GeoAI-Enhanced Techniques to Support Geographical Knowledge Discovery from Big Geospatial Data,"Zhou, Xiran",Arizona State University,2019,해외박사(DDOD)
,15,Solid State Drives for Big Data and Little Clients,"Li, Jing","University of California, San Diego",2018,해외박사(DDOD)
,16,"Using ""Big Data"" to Study Orthopaedic Trauma Populations: Looking at fractures from a bird's eye view as illustrated by three studies","Samuel, Andre Michael",Yale University,2016,해외박사(DDOD)
,17,(The) role of Mibyeong concept and traditional Korean medicine in female breast cancer: a big data analysis using national health insurance service data,"HUANG, CHING WEN",경희대학교 대학원,2020,국내박사
,18,Nonparametric Bayes for Big Data,"Yang, Yun",Duke University,2014,해외박사(DDOD)
,19,Scalable Methods for Big Time-to-Event Data,"Kawaguchi, Eric Shinya","University of California, Los Angeles",2019,해외박사(DDOD)
,20,Statistical Inference for Big Data,"Zhao, Tianqi",Princeton University,2017,해외박사(DDOD)
,21,(A) semantic-based category recommendation system exploiting big data processing technologies,김재익,한양대학교 대학원,2017,국내석사
,22,Efficient parallel processing of skyline queries for big data,박윤재,서울대학교 대학원,2017,국내박사
,23,(An) integrated toxicogenomic study using big data analysis for understanding the neurotoxic mechanisms of heavy metal lead = 유해중금속 납의 신경독성기전 이해를 위한 빅데이터 기반의 통합적 독성유전체분석 연구,김여진,Dongguk University,2017,국내박사
,24,Scalable and Ensemble Learning for Big Data,"Traganitis, Panagiotis",University of Minnesota,2019,해외박사(DDOD)
,25,ST-Hadoop: A MapReduce Framework for Big Spatio-Temporal Data Management,"Alarabi, Louai",University of Minnesota,2019,해외박사(DDOD)
,26,A Study on the Convergence of Big Data Platform and Machine Learning for Urban Safety = 도시 안전을 위한 빅 데이터 플랫폼과 기계 학습의 융합에 관한 연구,Sontakke Palash Jayant,부경대학교 대학원,2019,국내석사
,27,Solution Path Clustering with Minimax Concave Penalty and Its Applications to Noisy Big Data,"Marchetti, Yuliya","University of California, Los Angeles",2014,해외박사(DDOD)
,28,A Study on Variable Selection Methods with Big Data of Semiconductor Manufacturing Equipment,장재호,서울대학교 대학원,2019,국내석사
,29,(A) rough set trading system using genetic algorithm based on big data processing of the futures market,김영민,"Graduate School, Yonsei University",2015,국내박사
,30,Stochastic Predictions of Ore Production in an Underground Limestone Mine Using Big Data from ICT System = 석회석 지하광산 ICT 시스템의 빅데이터를 이용한 광석 생산량의 추계학적 예측,정다희,부경대학교 대학원,2022,국내석사
,31,Elevating the 4th paradigm : integration of  artificial intelligence and big data into  material informatics for the discovery of  novel advanced materials,"Jaafreh, Russlan",Sungkyunkwan University,2024,국내박사
,32,Research and Design of Artificial Intelligence Health Management System Based on Big Data = 빅 데이터 기반 인공 지능 건강 관리 시스템 연구 및 설계,유임군,원광대학교 일반대학원,2021,국내박사
,33,Automatic image and signal recognition modeling software for image and signal recognition using big data and deep learning,"Kang, Minseok",Sungkyunkwan university,2019,국내석사
,34,Development of machine learning-based model to predict cardiovascular disease in patients at risk using healthcare big data,송신정,"Graduate School, Yonsei University",2024,국내박사
,35,Design Knowledge Discover and Extractor Analytical Pipeline System for COVID-19 Research Based on Hadoop-Spark Big Data  Frameworks,CAETANO SERGIO PAULO,아주대학교,2023,국내석사
,36,Big data-based analysis of vaccine and cost-effectiveness to develop optimal influenza national immunization program in the elderly,윤재원,"Graduate School, Korea University",2018,국내박사
,37,Particle stacking undersampling method for highly imbalanced big data,"Jeon, Yongseok",Sungkyunkwan university,2021,국내석사
,38,(A) big data study about the characteristics and trends of traumatic injuries in children and adolescents,강승철,서울대학교 대학원,2020,국내박사
,39,Network-based integration of multi-omics big data and hypothesis generation,김이루,"Graduate School, Yonsei University",2016,국내박사
,40,Analysis of the relation between land moisture and land surface temperature using big data,"Seong, Kyoung-jin","Graduate School, Yonsei University",2018,국내박사
,41,Converting neuroimaging big data to information: Statistical frameworks for interpretation of image driven biomarkers and image driven disease subtyping,"Gaonkar, Bilwaj",University of Pennsylvania,2015,해외박사(DDOD)
,42,CPU-GPU JOB SCHEDULING TECHNIQUE FOR BIG DATA PROCESSING,"Sang, Uijeong",경희대학교 대학원,2019,국내석사
,43,An Efficient Foundation for Big Data Processing on Modern Clusters,"Borkar, Vinayak","University of California, Irvine",2016,해외박사(DDOD)
,44,Space-Filling Designs and Big Data Subsampling,"Wang, Lin","University of California, Los Angeles",2019,해외박사(DDOD)
,45,Determination of transformer capacity using big data-based electricity demand prediction model,한상규,"[Graduate School], Yonsei University",2021,국내박사
